tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
Slc9a9,Prdm1,Exph5,Gbp8
Slfn1,Prdx5,Extl1,Gcap14
Slfn2,Prelid1,Extl2,Gcc1
Slfn5,Prf1,Ezh2,Gcnt1
Smad3,Prim2,Ezr,Gcnt2
Smyd1,Prkar1a,F11r,Gem
Snhg8,Prkch,F830016B08Rik,Gfi1
Sntb1,Prph,Faah,Gga1
Snx30,Prr5l,Fahd2a,Ggta1
Socs3,Psd4,Fam109a,Gimap1
Sostdc1,Psen1,Fam129b,Gimap4
Sp100,Psma1,Fam132b,Gimap5
Sp110,Psmb2,Fam136a,Gimap7
Spnb2,Psmb6,Fam160a1,Gimap8
Spock2,Psmb8,Fam162a,Glcci1
Spry1,Psmc3,Fam168a,Glipr1
Spry2,Psmd1,Fam174b,Glmn
Srfbp1,Pstpip1,Fam190a,Glp1r
Srpk2,Ptgr1,Fam195a,Glrx
Srrm2,Ptk2b,Fam38a,Gm10389
Ssbp2,Ptp4a3,Fam43a,Gm11435
Ssh1,Ptpn12,Fam46c,Gm11648
Ssh2,Ptpn2,Fam53a,Gm11992
Sspo,Ptpn5,Fam63a,Gm12216
St3gal1,Ptpre,Fam81a,Gm12253
St6gal1,Rab1,Fam82b,Gm14005
St6galnac3,Rab11a,Fam84a,Gm14446
St8sia1,Rab27a,Fam86,Gm16702
St8sia4,Rab7l1,Fars2,Gm16907
Stat4,Rab8b,Farsa,Gm17455
Stat5b,Rac1,Farsb,Gm19897
Stim2,Rac2,Fas,Gm20257
Synj2,Rad51,Fasn,Gm4759
Synpo,Rasd2,Fastkd2,Gm4956
Tagap,Rasl12,Fbxl22,Gm5141
Tbc1d1,Rassf1,Fbxo17,Gm5547
Tbc1d10a,Rassf6,Fbxw5,Gm6682
Tbc1d14,Rbl2,Fcgbp,Gm9199
Tbc1d4,Rbms1,Fchsd2,Gm962
Tbl1x,Rbpj,Fcrl1,Gmcl1
Tbxa2r,Rcn1,Fgfr1op,Gnb1
Tcf7,Reep4,Fhit,Gnb4
Tcp11l2,Reep5,Filip1l,Gng2
Tert,Rer1,Fkbp2,Gngt2
Tespa1,Rfc2,Flna,Gnptg
Tet3,Rgs1,Flot1,Gns
Tgif1,Rgs16,Folr4,Golga2
Tgtp1,Rgs3,Fos,Gorab
Tgtp2,Rgs8,Fosb,Got1
Tha1,Rhbdf2,Foxj2,Gp49a
Thada,Rheb,Foxo1,Gpd2
Thap3,Rhof,Fpgs,Gpld1
Tiam1,Riok1,Frmd8,Gpr137b-ps
Tle3,Ripply3,Frrs1,Gpr171
Tlk1,Rnaseh2c,Fscn1,Gpr55
Tlr1,Rnasek,Fsd2,Gpr56
Tmem121,Rpa2,Ftl1,Gpr62
Tmem161a,Rpn1,Ftsjd1,Gpr65
Tmem231,Rps27l,Fut7,Gpr97
Tnfaip8l2,Rps6ka1,Fyb,Gprc5c
Tnfrsf13b,Rps6ka4,G3bp1,Gramd1a
Tnfrsf25,Rrbp1,G6pd2,Grap2
Tnfrsf26,Rrm1,G6pdx,Gse1
Tnfsf11,Rrm2,Gadd45g,Gsg2
Tnfsf14,Runx2,Gadd45gip1,Gsk3b
Tnfsf4,S100a11,Galk1,Gstt1
Tnfsf8,S100a13,Galnt14,Gtf2i
Tnip1,S100a4,Galnt9,Gzma
Tnp2,S100a6,Gapdhs,Gzmb
Tnrc6b,Sacm1l,Gars,Gzmk
Tnrc6c,Samd9l,Gart,H2-D1
Tob1,Samsn1,Gas5,H2-DMb1
Tob2,Scarb2,Gas7,H2-Eb1
Top2b,Sdcbp,Gatsl3,H2-M3
Tox2,Sdcbp2,Gcat,H2afj
Tpd52,Sdf2l1,Gclc,H3f3b
Traf3ip2,Sdhb,Gdap10,H6pd
Trat1,Sec11c,Gdi2,Haus3
Treml2,Sec23b,Gdpd1,Havcr2
Trib1,Sec24d,Gdpd5,Hccs
Trim12a,Sema4a,Gemin4,Hcls1
Trim25,Sema4d,Gemin8,Hcst
Trim34a,Sephs2,Gfer,Hdac4
Trmt1,Sepn1,Ggt1,Hdac7
Trp53inp1,Sept11,Gins1,Hdhd3
Trpm1,Sept4,Gins2,Heca
Tspan32,Sept9,Gipc2,Helz
Ttn,Serinc1,Gldc,Hemk1
Txnip,Serinc3,Glipr2,Herc1
Ubac2,Serpina3f,Glis2,Hes6
Ube2h,Serpinb6a,Glo1,Heyl
Ubr2,Serpinb6b,Gls,Hgfac
Unc93b1,Serpinb9,Glt28d2,Hic1
Usp11,Serpinb9b,Glud1,Hif1an
Usp3,Serpine2,Gm10560,Hilpda
Utp14a,Setbp1,Gm11974,Hip1
Utrn,Sh2d2a,Gm15421,Hip1r
Vat1l,Sh2d5,Gm16894,Hira
Vcl,Sh3bgrl3,Gm17384,Hist1h1c
Vmac,Sh3bp1,Gm17745,Hist1h1e
Vps13a,Sh3glb1,Gm2a,Hist2h2be
Whsc1l1,Sin3b,Gm3258,Hist3h2ba
Wnt10a,Sipa1l1,Gm4814,Hk1
Xcl1,Sirt2,Gm4841,Hmga2-ps1
Xist,Siva1,Gm5124,Hnrnph1
Zbtb20,Skap2,Gm5506,Hpgds
Zc3h12d,Sla2,Gm5512,Hpse
Zcchc11,Slamf1,Gm5918,Hrh2
Zfc3h1,Slc13a3,Gm6251,Hsbp1
Zfp169,Slc16a10,Gm6548,Hsp90b1
Zfp187,Slc16a3,Gm6654,Hspa13
Zfp295,Slc25a10,Gm6907,Hspa1a
Zfp317,Slc25a11,Gm9320,Hsph1
Zfp36,Slc27a1,Gna14,Htra3
Zfp362,Slc2a1,Gnat1,Hyal1
Zfp36l1,Slc2a3,Gnb2l1,Ica1
Zfp36l2,Slc30a4,Gnl1,Icam1
Zfp467,Slc35b1,Gnl3,Id2
Zfp60,Slc35d2,Golgb1,Ide
Zfp62,Slc35d3,Gorasp2,Idh3a
Zfp827,Slc37a2,Gpatch4,Ier5l
Zfp831,Slc39a6,Gpi1,Ifi47
Zfpm1,Slc48a1,Gpm6b,Ifng
Zhx2,Slc52a3,Gpr15,Ifngr1
,Slmo2,Gpr155,Ifngr2
,Smc2,Gpr160,Ikzf1
,Smc5,Gpr18,Ikzf3
,Smc6,Gpr183,Il10
,Smpd1,Gpr3,Il10ra
,Smpd4,Gpr34,Il12rb1
,Smpdl3b,Gprin3,Il15ra
,Smtn,Gpsm2,Il20ra
,Smu1,Gpx1,Il21r
,Snx10,Gramd3,Il2rb
,Snx9,Gramd4,Ildr1
,Spag5,Grap,Ilvbl
,Spats2,Grcc10,Inpp4a
,Spc24,Grip2,Inpp5d
,Spc25,Grn,Inpp5e
,Spcs3,Grsf1,Insc
,Specc1,Grtp1,Insrr
,Spg21,Grwd1,Ipo9
,Spp1,Gspt1,Irak2
,Spsb2,Gspt2,Ireb2
,Srgap3,Gsta4,Irf1
,Srgn,Gstk1,Irf2
,Srp14,Gstm1,Irf8
,Srxn1,Gstt2,Itga1
,St14,Gstt3,Itgad
,St3gal6,Gtf2e1,Itgal
,Stard3nl,Gtf2h3,Itgam
,Stat3,Gtf2h4,Itgav
,Stk39,Gtpbp8,Itgax
,Stt3a,Gucy1a3,Itgb2
,Stx12,Gypc,Itih5
,Stx7,Gys1,Itk
,Styk1,Gzmm,Itm2b
,Sub1,H1f0,Itpk1
,Suox,H2-Ke6,Itpkb
,Surf4,H2-Oa,Itpr3
,Sv2c,H2-Ob,Itpripl2
,Synpo2,H2-Q10,Izumo4
,Sytl1,H2-Q2,Jup
,Sytl2,H2afx,Kbtbd3
,Tacc3,H2afz,Kcna3
,Tap2,Hagh,Kcnj8
,Tbcb,Hapln1,Kcnk5
,Tbk1,Haus1,Kcnk6
,Tceb1,Hcn3,Kcnk7
,Tfcp2l1,Hdac10,Kctd11
,Tgfbr2,Hdac2,Kdm4a
,Themis,Hddc2,Kdm4c
,Thy1,Hdgfrp3,Khnyn
,Timm17a,Heatr1,Kif18a
,Tinf2,Heatr3,Kif19a
,Tipin,Heatr5a,Kif3c
,Tjp3,Heg1,Klf10
,Tk1,Herc6,Klf6
,Tmbim4,Hgsnat,Klhl18
,Tmcc3,Hibadh,Klhl25
,Tmed2,Hibch,Klk8
,Tmem120a,Hif1a,Klra17
,Tmem135,Hint1,Klra3
,Tmem159,Hipk1,Klra7
,Tmem163,Hist1h2ac,Klra9
,Tmem30a,Hist1h3g,Klrb1c
,Tmprss6,Hivep3,Klrc1
,Tmsb4x,Hk2,Klrd1
,Tmtc4,Hk3,Klre1
,Tmx1,Hmgb3,Klrg1
,Tnfrsf9,Hmgn1,Kremen2
,Tnk2,Hmgn3,Krr1
,Top2a,Hmmr,L3mbtl3
,Tpi1,Hn1l,Lag3
,Tpm3,Hnrnpk,Lamb3
,Tpm4,Homez,Lamc1
,Trim36,Hps1,Laptm5
,Trp53i11,Hsd17b11,Lasp1
,Tsga10,Hsd3b7,Lass4
,Tst,Hsdl1,Lat
,Tuba1a,Hsp90ab1,Lat2
,Tuba1b,Hspa9,Lats2
,Tuba1c,Hspbp1,Lax1
,Tuba4a,Hspe1,Lcp1
,Tubb4b,Htra2,Lcp2
,Tubb5,Hvcn1,Leng1
,Tubb6,Hyal2,Leng8
,Tubg1,I830012O16Rik,Leprot
,Tubgcp2,Icam2,Leprotl1
,Twsg1,Icos,Letm1
,Txk,Id3,Lgi4
,Txn1,Idh2,Lig4
,Txnrd1,Idh3g,Lilrb4
,Tyk2,Ier5,Lim2
,Uba3,Ifi203,Lime1
,Ubash3b,Ifi204,Limk1
,Ubxn8,Ifi27l2a,Lin54
,Uchl4,Ifi44,Litaf
,Ugcg,Ifit1,Llgl2
,Ugp2,Ifit3,Lman2
,Ulbp1,Ifnar2,Lnp
,Unc119,Ifrd1,Lonp2
,Unc13b,Ifrd2,Lpar6
,Upf1,Ift172,Lphn1
,Upp1,Igf1r,Lpin1
,Vamp3,Igf2r,Lrfn4
,Vamp8,Igfals,Lrg1
,Vash1,Iigp1,Lrp10
,Vasp,Ikbke,Lrrc27
,Vim,Ikzf2,Lrrc32
,Vipr2,Il10rb,Lrrc8c
,Vmp1,Il17ra,Lrrc9
,Vps37c,Il18,Lrrfip2
,Wdr1,Il18r1,Lrrk1
,Wdr95,Il1r2,Lrrn4
,Wnt10b,Il21,Ly6g5b
,Wscd2,Il2rg,Ly75
,Xbp1,Il6ra,Ly86
,Xcr1,Il7r,Lyn
,Yaf2,Immp2l,Lypla2
,Ywhah,Impa2,Lyst
,Zbtb32,Impdh2,Lzts1
,Zbtb38,Inadl,Maf
,Zbtb42,Inf2,Maf1
,Zcrb1,Inpp4b,Malat1
,Zfp652,Insr,Malt1
,,Ints2,Man1a2
,,Ipmk,Man1b1
,,Ipo11,Map1lc3b
,,Ipo4,Map2k2
,,Iqcc,Map2k3
,,Irak1bp1,Map4k1
,,Irf2bp2,Mapkapk3
,,Irf3,March1
,,Irf5,Mark2
,,Irf6,Mast3
,,Irf7,Matk
,,Irf9,Mbnl1
,,Irgm1,Mcart6
,,Irs2,Mcl1
,,Isoc1,Mdm4
,,Isoc2b,Med1
,,Ispd,Med12l
,,Isyna1,Med13l
,,Itfg3,Med14
,,Itga3,Med30
,,Itga7,Med7
,,Itgb1,Mef2a
,,Itgb4,Metrnl
,,Itsn1,Mettl7a1
,,Jagn1,Mfap1a
,,Jak1,Mfsd10
,,Jam3,Mgat4a
,,Jarid2,Mgat4b
,,Jtb,Miat
,,Jun,Mical1
,,Junb,Mical2
,,Kank3,Micall1
,,Kat2a,Miip
,,Kat5,Mll5
,,Katnb1,Mlx
,,Kbtbd11,Mlycd
,,Kbtbd4,Mmd
,,Kbtbd8,Mmgt2
,,Kcnc1,Mmp11
,,Kcnip3,Mmp28
,,Kcnn4,Mob3a
,,Kcnq1ot1,Mocos
,,Kcnq5,Mogs
,,Kctd10,Mprip
,,Kdelc1,Mrc2
,,Kdelc2,Mrgpre
,,Kdm6b,Mrpl4
,,Kif1b,Mta3
,,Kifc3,Mtmr1
,,Kit,Mtor
,,Klc1,Mvd
,,Klf2,Mxd1
,,Klf4,Mxd4
,,Klhdc2,Myh6
,,Klhl6,Myl4
,,Klhl7,Myl6
,,Klrk1,Myo18a
,,Krt10,Myo1f
,,Ksr1,Myo6
,,Kti12,Myo9b
,,Lad1,Myst3
,,Lamp1,N4bp2l1
,,Lancl2,N4bp3
,,Lancl3,Nab2
,,Lap3,Nacc1
,,Ldha,Naip2
,,Ldlrap1,Naip5
,,Ldoc1l,Napg
,,Lef1,Napsa
,,Leo1,Nat15
,,Letmd1,Nbeal2
,,Lhpp,Ncald
,,Lif,Ncf1
,,Limd2,Ndfip1
,,Lmbr1,Ndfip2
,,Lmf1,Ndufa13
,,Lmf2,Ndufb8
,,Lmna,Neb
,,Lmnb1,Nedd4
,,Lpcat3,Nedd9
,,Lpxn,Nfatc1
,,Lrig1,Nfatc3
,,Lrp12,Nfe2l1
,,Lrr1,Nfil3
,,Lrrc14,Nfkbie
,,Lrrc29,Nfxl1
,,Lrrc41,Nfyb
,,Lrrc49,Nhlrc2
,,Lrrc59,Nhsl2
,,Lrrc8d,Nipa2
,,Lrrk2,Nipal3
,,Lsm4,Nipsnap3b
,,Lsm6,Nkg7
,,Lsr,Nktr
,,Lta,Nmb
,,Ltb,Nod1
,,Ltv1,Notch1
,,Luzp1,Notch2
,,Ly6a,Npc2
,,Ly6c1,Nr1d2
,,Ly6c2,Nr4a2
,,Ly6e,Nrd1
,,Ly9,Nrp2
,,Ly96,Nsmaf
,,Lysmd2,Ntan1
,,Macf1,Nuak2
,,Mafb,Nucb1
,,Maged1,Nudt17
,,Magoh,Nudt18
,,Man1c1,Nup50
,,Man2c1,Oaz2
,,Map3k8,Obfc1
,,Map4k4,Obfc2a
,,Mapk11,Ociad2
,,Mapk14,Oit3
,,Mapk8,Olfr99
,,Mapt,Oprl1
,,Marcksl1,Optn
,,Mars,Oraov1
,,Mast4,Ormdl3
,,Maz,Os9
,,Mbd3,Osbpl2
,,Mbnl3,Osbpl3
,,Mboat1,Osgin1
,,Mbp,Ostm1
,,Mcart1,Otud5
,,Mcm3,P2ry6
,,Mcm5,Pacs1
,,Mcm6,Padi2
,,Mcm7,Pak2
,,Mcph1,Pak4
,,Mdn1,Papolg
,,Mecr,Parp10
,,Med24,Parp16
,,Med8,Patl2
,,Melk,Patz1
,,Mesdc2,Pbrm1
,,Metap1d,Pcif1
,,Mettl1,Pcmt1
,,Mettl10,Pcsk7
,,Mettl13,Pcyt1a
,,Mettl14,Pdcd1
,,Mettl16,Pdcd6ip
,,Mfhas1,Pde1b
,,Mfsd2a,Pde3b
,,Mfsd3,Pde4a
,,Mgat3,Pde4b
,,Mgat5,Pde4d
,,Mgmt,Pde7a
,,Mgrn1,Pdgfb
,,Mgst2,Pdia3
,,Mid1,Pdlim7
,,Mif,Pdxdc1
,,Mif4gd,Pelo
,,Mir682,Per3
,,Mki67ip,Perp
,,Mks1,Pex7
,,Mmab,Pggt1b
,,Mmachc,Pglyrp2
,,Mmp10,Pgm2l1
,,Mnat1,Phf1
,,Mnda,Phf12
,,Mndal,Phf20l1
,,Morn1,Phf8
,,Morn4,Phlda3
,,Mosc2,Pias1
,,Mpdu1,Pigc
,,Mpg,Pigs
,,Mphosph10,Pigv
,,Mrm1,Pik3ap1
,,Mrpl12,Pik3c2a
,,Mrpl17,Pik3cd
,,Mrpl3,Pik3cg
,,Mrpl34,Pik3r1
,,Mrpl44,Pink1
,,Mrpl45,Pion
,,Mrpl52,Pip5k1a
,,Mrpl54,Pip5k1b
,,Mrps17,Pitpnc1
,,Mrps18a,Pitpnm2
,,Mrps18b,Pkn1
,,Mrps27,Pkn2
,,Mrps28,Pla2g15
,,Mrps35,Pla2g16
,,Mrps6,Plac8
,,Mrto4,Plbd1
,,Ms4a4b,Plcg1
,,Ms4a4c,Plcl2
,,Ms4a6b,Plcxd1
,,Msrb2,Pld3
,,Msto1,Pldn
,,Mtap,Plekha1
,,Mtap7,Plekha2
,,Mtap9,Plekhb2
,,Mtch1,Plekhf1
,,Mtch2,Plekhg3
,,Mtfp1,Plekhm1
,,Mthfd1,Plekhm3
,,Mtmr7,Plekho2
,,Mtrf1,Plin2
,,Mtss1,Plk3
,,Mtx1,Plk4
,,Mtx2,Plxdc1
,,Muc5b,Pmaip1
,,Mx2,Pnrc2
,,Mxd3,Pofut2
,,Myb,Pon3
,,Mybbp1a,Pop4
,,Myc,Ppcdc
,,Myo10,Ppic
,,Myo1h,Ppm1b
,,Myo5a,Ppm1d
,,Myst1,Ppm1h
,,Naa25,Ppm1j
,,Naa50,Ppm1n
,,Nab1,Ppp1r16b
,,Nampt,Ppp1r18
,,Narf,Ppp1r3b
,,Narg2,Ppp2r2c
,,Nars,Ppp3ca
,,Nbn,Ppp3cc
,,Ncaph,Ppp3r1
,,Ncf4,Ppt1
,,Ncoa7,Pqlc3
,,Ncor2,Prc1
,,Ndrg2,Prdm1
,,Ndufa9,Prdx5
,,Ndufc2,Prex1
,,Ndufv2,Prf1
,,Nebl,Prkacb
,,Nefh,Prkar1a
,,Neil1,Prkcd
,,Nek11,Prkch
,,Nek2,Prkx
,,Nek7,Prmt2
,,Nenf,Prosc
,,Neurl1b,Prpf4b
,,Nfkb1,Prr5
,,Nfkb2,Prr5l
,,Nfkbia,Prrt1
,,Nfkbiz,Psd4
,,Nhej1,Pskh1
,,Nhp2,Psmb10
,,Nif3l1,Psmb8
,,Ninj1,Psmc3ip
,,Nip7,Psmd9
,,Nipsnap1,Psme2
,,Nisch,Pstpip1
,,Nit2,Ptger4
,,Nle1,Ptk2b
,,Nme1,Ptp4a3
,,Nme2,Ptpn18
,,Nme3,Ptpn22
,,Nme4,Ptpn4
,,Nme7,Ptpn9
,,Nmral1,Ptprcap
,,Noa1,Pttg1
,,Nob1,Purb
,,Noc4l,Pwwp2b
,,Nol11,Pxk
,,Nolc1,Pxn
,,Nono,Pygl
,,Nop10,Qser1
,,Nop16,Qsox1
,,Nop2,Rab11fip4
,,Nop56,Rab19
,,Nop58,Rab28
,,Npm1,Rab3il1
,,Nprl3,Rab8b
,,Nr2c1,Rac3
,,Nr3c2,Rad54l2
,,Nr4a1,Rai14
,,Nr4a3,Ralbp1
,,Nrn1,Ralgapa2
,,Nrp1,Ralgapb
,,Nsf,Ranbp17
,,Nsg2,Rap1b
,,Nsmce1,Rapsn
,,Nsun2,Rasd2
,,Nsun5,Rasgrp1
,,Nt5c,Rasl11b
,,Nt5e,Rassf1
,,Ntrk3,Rb1cc1
,,Nudt16l1,Rbl2
,,Nudt2,Rbm18
,,Nudt6,Rbm28
,,Nufip1,Rbm38
,,Nup205,Rbm41
,,Nup93,Rbm42
,,Nupl2,Rbms1
,,Nxn,Rbpj
,,Nxnl1,Rcan3
,,Oaf,Rcn1
,,Oas3,Rcor3
,,Oasl1,Rdh10
,,Oasl2,Reps1
,,Odc1,Ret
,,Ogfr,Rftn1
,,Orai1,Rgs1
,,Orai2,Rgs3
,,Ostc,Rhoc
,,Otx1,Rhof
,,Oxct1,Rhoq
,,P2rx4,Ric8
,,P2rx7,Rin1
,,P4ha1,Ripply3
,,P4htm,Rmnd5b
,,Pafah1b3,Rnaseh2c
,,Pafah2,Rnasek
,,Paics,Rnasel
,,Paip2b,Rnaset2b
,,Pak1ip1,Rnf113a2
,,Palld,Rnf130
,,Papd7,Rnf14
,,Papss2,Rnf146
,,Paqr4,Rnf149
,,Paqr7,Rnf166
,,Paqr8,Rnf167
,,Pard6g,Rnf181
,,Park7,Rnf215
,,Parn,Rnf4
,,Parp1,Rnf44
,,Parp3,Rod1
,,Parp8,Rorc
,,Pcbp1,Rpa2
,,Pcca,Rps13
,,Pcdh15,Rps6ka1
,,Pcdhga4,Rps6ka4
,,Pcdhga7,Rraga
,,Pcsk1,Rras2
,,Pctp,Rsbn1
,,Pcyox1,Rtn4rl1
,,Pdcd1lg2,Rundc3b
,,Pddc1,Runx1
,,Pde2a,Runx3
,,Pdgfra,Ryr1
,,Pdha1,S1pr2
,,Pdk1,S1pr5
,,Pdk2,Samd10
,,Pdlim1,Samsn1
,,Pebp1,Sash3
,,Pecam1,Scai
,,Pemt,Scrib
,,Penk,Sdc2
,,Peo1,Sdf2
,,Pfas,Sec11c
,,Pfkp,Sec14l1
,,Pfn2,Sec24d
,,Pgam1,Selk
,,Pgcp,Selplg
,,Phb2,Sema4a
,,Phc1,Sema4d
,,Phf19,Sema7a
,,Phf23,Senp5
,,Phlpp1,Sephs2
,,Phpt1,Sepn1
,,Pias2,Sept11
,,Pif1,Sept4
,,Pik3ca,Sept9
,,Pik3ip1,Serinc1
,,Pik3r2,Serinc3
,,Pikfyve,Serpina3f
,,Pim2,Serpina3g
,,Pisd,Serpinb1a
,,Pitrm1,Serpinb6b
,,Pkdcc,Serpinb9
,,Pkp4,Serpini1
,,Plagl1,Sertad2
,,Plcl1,Sertad3
,,Pld4,Sesn1
,,Plin3,Sesn2
,,Plk2,Setbp1
,,Plrg1,Sfmbt1
,,Plscr1,Sfpi1
,,Plscr4,Sfrs18
,,Plxdc2,Sh2d2a
,,Plxnc1,Sh2d3c
,,Pml,Sh3bp2
,,Pno1,Sh3gl1
,,Pnpla3,Sh3glb1
,,Pnpo,Sh3tc1
,,Poglut1,Sh3yl1
,,Pold2,Shprh
,,Polg2,Sipa1
,,Polm,Sipa1l1
,,Polr1a,Sirt2
,,Polr1b,Sla2
,,Polr1c,Slamf1
,,Polr2e,Slc16a10
,,Polr2f,Slc16a3
,,Polr3h,Slc16a6
,,Popdc2,Slc20a1
,,Pou2af1,Slc23a2
,,Pou2f2,Slc25a10
,,Pou6f1,Slc25a16
,,Ppa1,Slc25a24
,,Ppan,Slc25a25
,,Ppapdc1b,Slc25a35
,,Ppat,Slc25a37
,,Ppie,Slc25a44
,,Ppm1f,Slc26a9
,,Ppp1r15a,Slc28a2
,,Ppp1r16a,Slc29a4
,,Ppp2r3a,Slc2a3
,,Ppp2r5d,Slc2a8
,,Pprc1,Slc33a1
,,Pptc7,Slc35c2
,,Pqlc1,Slc35d2
,,Prdm5,Slc35e1
,,Prdx2,Slc36a1
,,Prdx3,Slc37a2
,,Prdx4,Slc38a10
,,Prelid1,Slc38a9
,,Prep,Slc39a13
,,Prickle1,Slc39a6
,,Prim2,Slc39a9
,,Prkab2,Slc3a2
,,Prkag2,Slc46a3
,,Prkcb,Slc4a8
,,Prkcq,Slc52a3
,,Prkcsh,Slc6a13
,,Prkrir,Slc9a1
,,Prmt3,Slc9a3r1
,,Prmt5,Slfn10-ps
,,Prpf19,Slk
,,Prps1,Smad3
,,Prps2,Smc5
,,Prpsap1,Smc6
,,Prrc2c,Smg6
,,Prune2,Smg7
,,Psat1,Smndc1
,,Psen2,Smpd1
,,Psma1,Smtn
,,Psma6,Snai3
,,Psmb2,Snx18
,,Psmb6,Snx3
,,Psmb9,Snx9
,,Psmd3,Soat1
,,Psmd6,Soat2
,,Psmd7,Socs7
,,Psmg1,Sorl1
,,Ptar1,Sos1
,,Ptbp1,Sp4
,,Pter,Spata21
,,Ptger2,Spats2
,,Ptgfrn,Spef1
,,Ptp4a2,Spg20
,,Ptplad1,Spib
,,Ptpn11,Spon1
,,Ptpn6,Spsb3
,,Ptprk,Srbd1
,,Ptprs,Srgap2
,,Pts,Srgap3
,,Pus1,Srl
,,Pus7,Srp14
,,Pusl1,Srpk3
,,Pwp1,Srsf5
,,Pwp2,Srxn1
,,Pxmp3,St14
,,Pygb,St3gal3
,,Pyhin1,Stag1
,,Qtrt1,Stard3nl
,,Qtrtd1,Stau1
,,Rab12,Stk11
,,Rab23,Stk17b
,,Rab31,Stk32c
,,Rab32,Stk39
,,Rabl2,Stk40
,,Rad51l1,Strn4
,,Raf1,Stx7
,,Ralb,Stxbp2
,,Ramp3,Stxbp5
,,Ranbp10,Styk1
,,Rangrf,Sub1
,,Rapgef4,Suox
,,Rapgef5,Surf1
,,Raph1,Susd1
,,Rarg,Susd3
,,Rars,Suv420h1
,,Rasa3,Sv2c
,,Rbbp7,Syap1
,,Rbck1,Sycp1-ps1
,,Rbfa,Syde1
,,Rbm43,Syk
,,Rbmxl1,Syna
,,Rcbtb1,Syne2
,,Rcc1,Sytl1
,,Rcc2,Sytl2
,,Rccd1,Sytl3
,,Rcl1,Tab3
,,Rcn3,Tacc2
,,Reck,Taf2
,,Reep4,Taf7
,,Rel,Taok3
,,Rere,Tap1
,,Rexo2,Tap2
,,Rfc1,Tapbpl
,,Rfc5,Tbc1d10c
,,Rfx1,Tbc1d20
,,Rgs10,Tbc1d22a
,,Rgs11,Tbc1d24
,,Rgs12,Tbc1d9b
,,Rhbdd2,Tbl2
,,Rhob,Tbpl1
,,Rilpl2,Tbx21
,,Ripk2,Tbx6
,,Rn45s,Tceal8
,,Rnf138,Tcirg1
,,Rnf145,Tef
,,Rnf157,Terf1
,,Rnf19a,Tes
,,Rnf32,Tesk2
,,Rnf43,Tfip11
,,Rnmtl1,Tg
,,Rnpep,Tgoln1
,,Rnpepl1,Themis
,,Ropn1l,Thrb
,,Rpgr,Tiam2
,,Rpl10a,Tifab
,,Rpl12,Tigd2
,,Rpl13,Tigit
,,Rpl13a,Tinf2
,,Rpl14,Tktl1
,,Rpl18,Tmc8
,,Rpl18a,Tmcc3
,,Rpl21,Tmco3
,,Rpl22,Tmco4
,,Rpl23,Tmed8
,,Rpl27a,Tmem115
,,Rpl29,Tmem127
,,Rpl3,Tmem135
,,Rpl31,Tmem140
,,Rpl32,Tmem160
,,Rpl35,Tmem163
,,Rpl36al,Tmem167b
,,Rpl37a,Tmem191c
,,Rpl39,Tmem208
,,Rpl4,Tmem229b
,,Rpl41,Tmem30a
,,Rpl6,Tmem37
,,Rpl7,Tmem38b
,,Rpl7a,Tmem9b
,,Rpl7l1,Tmprss13
,,Rpl8,Tmprss6
,,Rplp0,Tmsb4x
,,Rplp1,Tmtc4
,,Rplp2,Tnfrsf1a
,,Rpn1,Tnfrsf1b
,,Rpp14,Tnfrsf9
,,Rpp38,Tnfsf10
,,Rprd1b,Tnk2
,,Rps10,Tnrc18
,,Rps11,Tox2
,,Rps12,Tpp2
,,Rps14,Tprn
,,Rps15,Tpst2
,,Rps18,Traf6
,,Rps19,Tram1
,,Rps19-ps3,Trex1
,,Rps2,Trf
,,Rps20,Triap1
,,Rps21,Trim28
,,Rps24,Trim36
,,Rps25,Trim37
,,Rps26,Trim56
,,Rps3,Trim62
,,Rps3a,Trip11
,,Rps4x,Trip4
,,Rps5,Trp53i11
,,Rps7,Trp53i13
,,Rps8,Trp53inp2
,,Rps9,Trpc1
,,Rpsa,Trps1
,,Rpusd2,Trpt1
,,Rreb1,Tsc22d4
,,Rrp12,Tsga10
,,Rrp15,Tshz1
,,Rrp9,Tspyl1
,,Rrs1,Tspyl3
,,Rsad1,Ttc16
,,Rsad2,Ttc30a1
,,Rsl24d1,Ttc7
,,Rsu1,Ttyh2
,,Rtcd1,Tuba1c
,,Rtn3,Tubgcp2
,,Ruvbl2,Txk
,,Rwdd3,Txndc16
,,Rwdd4a,Txnrd1
,,S100a10,Tyk2
,,S1pr1,Tyrobp
,,Sall2,Uap1l1
,,Samd3,Ubash3a
,,Samd4b,Ubash3b
,,Samm50,Ubc
,,Sars,Ube2b
,,Satb1,Ube2h
,,Sbf2,Ube4a
,,Sbk1,Ubl5
,,Sc5d,Ubn1
,,Scamp1,Ubn2
,,Scamp4,Ubxn2a
,,Scap,Ubxn4
,,Scaper,Ubxn8
,,Scarb1,Ucp2
,,Sccpdh,Ugcg
,,Scd2,Ulbp1
,,Scin,Ulk1
,,Scmh1,Ulk2
,,Scml4,Ulk3
,,Sco1,Unc119
,,Scpep1,Unkl
,,Sdc3,Usf1
,,Sdhb,Usp16
,,Sdhd,Usp20
,,Sec61a2,Vamp2
