tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
Cd40lg,Calca,Adsl,Afp
Cd44,Calm1,Adss,Agfg1
Cd68,Calm3,Afap1,Agfg2
Cd69,Calr,Aff3,Agpat3
Cd72,Calu,Agpat5,Agpat9
Cd81,Camk2n1,Ahcy,Agps
Cd82,Capg,Ahcyl2,Agrn
Cd83,Capn2,Aicda,Ahr
Cd84,Capn5,Aim1l,AI504432
Cd9,Capza2,Aimp1,AI848100
Cdk2ap2,Capzb,Aimp2,Akap10
Cecr5,Casp3,Aipl1,Akap12
Celf1,Casp7,Akap1,Akna
Celsr1,Casp8,Akap2,Alkbh1
Chd3,Ccl3,Akap6,Alkbh4
Chka,Ccl4,Akr7a5,Alox5ap
Clec2d,Ccl5,Alas1,Alyref2
Clec2i,Ccl9,Alcam,Amhr2
Clk1,Ccna2,Aldh4a1,Ank
Cmah,Ccnd3,Alg3,Ankmy2
Cmpk2,Ccng1,Alg8,Ankrd11
Cnot6l,Ccr1,Amacr,Ankrd12
Cnrip1,Ccr5,Amotl1,Ankrd44
Colq,Ccrl2,Ampd2,Ankrd50
Cox7a2l,Cct7,Amz2,Anks1b
Cpm,Cd101,Anapc16,Anubl1
Cpne3,Cd14,Angptl2,Ap1g1
Crtam,Cd164,Ankle1,Ap2b1
Crtc3,Cd200r1,Ankrd13d,Apaf1
Ctdsp2,Cd200r2,Ankrd37,Apba3
Ctsl,Cd200r4,Ankrd46,Apbb1
Ctss,Cd244,Ano10,Apex2
Ctsw,Cd38,Anp32b,Aplp1
Ctsz,Cd3g,Anp32e,Aplp2
Cux1,Cd47,Anxa2,Apobr
Cxcl10,Cd48,Anxa6,Apol10b
Cxcr3,Cd55,Ap1g2,Apol7e
Cxcr4,Cd80,Ap1m1,Appl2
Cxcr5,Cd86,Ap1s1,Arap3
Cxxc5,Cdc37,Apex1,Arfgap3
Cyr61,Cdc42,Apitd1,Arhgap10
Cyth1,Cdc45,Apobec2,Arhgap17
D18Ertd653e,Cdh17,App,Arhgap18
D4Wsu53e,Cdk1,Aqp3,Arhgap30
D930015E06Rik,Cdk14,Ar,Arhgap9
Dap3,Cdk6,Arap2,Arhgef6
Dapl1,Cdkn1a,Arc,Arid3a
Dcaf8,Cdkn2a,Arfip2,Arid3b
Dclk1,Cdkn2b,Arhgap19,Arid5b
Dcun1d4,Cdkn3,Arhgap21,Arih1
Ddx24,Cenpa,Arhgap22,Arih2
Decr1,Cenpe,Arhgap26,Arl15
Degs2,Cep57,Arhgap28,Arl5a
Dennd1c,Chchd10,Arhgap5,Arl6ip1
Dgka,Chl1,Arhgdib,Armc1
Dguok,Chmp5,Arhgef10,Armc5
Dhrs3,Chn2,Arhgef26,Armc7
Dnajb2,Chst12,Arhgef3,Arpc1b
Dnase1l3,Chsy1,Arhgef9,Arrb1
Dnmbp,Ciapin1,Arid5a,Arrdc3
Dpp4,Cisd1,Arl4d,Arsb
Dpy19l3,Cish,Arl5c,Asap2
Dse,Ckap5,Arl6ip6,Asb1
Dtx1,Cks1b,Armc10,Asb2
Dtx3,Clgn,Armc9,Asprv1
Dusp1,Clic1,Armcx2,Atad2
Dusp4,Clic4,Arpc5l,Atf3
Dzip1,Clta,Arrdc1,Atf6
E130308A19Rik,Cmpk1,Arrdc4,Atg13
Eef1a1,Cmtm7,Art3,Atg16l1
Eef1b2,Commd3,Arxes2,Atg3
Eef2,Copb1,Asap1,Atg4d
Egr2,Cops4,Ascc1,Atg5
Ehd3,Coro2a,Asf1a,Atg9b
Eif3f,Cox17,Ash2l,Atmin
Eif4enif1,Cox5a,Asns,Atp2b4
Elk4,Creld2,Asnsd1,Atp2c1
Elovl6,Crem,Aspm,Atp6v0a2
Emb,Crot,Atad3a,Atp6v0b
Enpp2,Csf1,Atg16l2,Atp6v0d1
Ephx1,Csnk2b,Atic,Atp6v0e
Erlin1,Ctnna1,Atl3,Atp6v1e1
Etv6,Ctnnd2,Atm,Atp6v1f
Evl,Ctsb,Atp10a,Atp6v1g1
F2rl1,Ctsc,Atp1a1,Atp8a2
Fam109a,Ctsd,Atp1b3,Atp8b2
Fam116b,Cxcr6,Atp2b2,Atrn
Fam117a,Cyb5b,Atp5a1,Atxn1
Fam149b,Cyba,Atp5b,AU022252
Fam160a1,Cyfip1,Atp5d,Aup1
Fam162a,Cysltr2,Atp6v1g2,AW011738
Fam169b,D16Ertd472e,Atp8b3,AW112010
Fam178b,D430020J02Rik,Atpbd4,AW555464
Fam179b,D430041D05Rik,Atrnl1,Azi2
Fam189b,D630039A03Rik,Aurkb,Azin1
Fam26f,Dab2ip,Axl,B130006D01Rik
Fam46a,Dapk2,AY358078,B230120H23Rik
Fam46c,Dctn3,B3gnt1,B3galt5
Fam53b,Ddost,B3gnt2,B3gntl1
Fam65b,Ddx39,B3gnt3,Bach1
Fam78a,Ddx58,B3gnt5,Baiap2
Fam81a,Def6,B4galnt1,Baiap3
Fam82b,Degs1,B9d2,BB557941
Fam84a,Dennd1b,Bace2,BC004004
Fas,Dennd3,Bach2,BC013712
