Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
,,Cysltr2,
,,C530008M17Rik,
,,Ttll9,
,,Nphp1,
,,Mvb12b,
,,Olfr157,
,,Sv2a,
,,Ptrh1,
,,Morn1,
,,Phactr2,
,,Myb,
,,Armcx6,
,,Srm,
,,Mgrn1,
,,Dmd,
,,Cand2,
,,Zc3h6,
,,Dnah8,
,,Sh3gl3,
,,Ttc27,
,,Galk1,
,,Trpv4,
,,Iqcd,
,,Prrt2,
,,Sepp1,
,,9430078K24Rik,
,,Dnase1l3,
,,Tusc1,
,,Adk,
,,Adamtsl4,
,,Cpq,
,,Fan1,
,,Ctdsp2,
,,Hhat,
,,Ppfibp2,
,,Colq,
,,Hgfac,
,,Matk,
,,Ctnnd1,
,,Ptpn3,
,,Hif3a,
,,Cul7,
,,Top1mt,
,,Dio2,
,,Ext1,
,,Ano7,
,,Ndst1,
,,Btbd11,
,,Slc41a3,
,,Znf512b,
,,Acot6,
,,Shmt1,
,,Tsacc,
,,Ifi27l2b,
,,Isoc1,
,,Itga9,
,,Myo7a,
,,Apex1,
,,4930447F24Rik,
,,Ptprk,
,,Grik5,
,,Wdr60,
,,Zhx2,
,,Mttp,
,,Ifrd2,
,,Arhgef17,
,,Pecr,
,,Klk1b21,
,,Nefh,
,,Marcks,
,,Camkk1,
,,Tnp2,
,,Evi5l,
,,Xaf1,
,,Fntb,
,,Fmnl3,
,,Gm7120,
,,Plxnb1,
,,Tnfrsf14,
,,Gm10825,
,,Lpar3,
,,Gm17296,
,,Bnipl,
,,Zfp523,
,,Rab11fip5,
,,Vangl2,
,,Wdr6,
,,D830031N03Rik,
,,Snord53,
,,Src,
,,Adamts20,
,,Cep72,
,,Slc36a4,
,,Cdh23,
,,Fam234a,
,,Adck5,
,,Ralgps2,
,,Klhl23,
,,Slc39a11,
,,Trerf1,
,,Marcksl1,
,,Pla2g4f,
,,Ifi27l2a,
,,Plcl1,
,,C2cd4b,
,,Kcnh4,
,,5031434O11Rik,
,,Zfp831,
,,Dhrs3,
,,Fgd1,
,,Xrcc6bp1,
,,Hey1,
,,Mtus2,
,,Klhl4,
,,Fubp3,
,,Adcy9,
,,Il2,
,,Tmem64,
,,Ccdc122,
,,Zfpm1,
,,Ebi3,
,,Dennd2d,
,,Coprs,
,,Osbpl1a,
,,Cep85l,
,,Ccdc17,
,,Cd2ap,
,,Six5,
,,Aldh6a1,
,,Tmc4,
,,LOC100861615,
,,Decr1,
,,Il1r1,
,,Cd81,
,,Ppp1r14b,
,,Slc14a1,
,,Isg20,
,,Agrn,
,,Mthfd1,
,,Cdkl5,
,,Alpk1,
,,Il21,
,,Carm1,
,,Ubiad1,
,,Asap1,
,,Plekho1,
,,Tesc,
,,Rps6kc1,
,,Serpinc1,
,,Tmem8b,
,,Arc,
,,Gm3435,
,,Lzts2,
